Domain, Vposmag, PriVposmag, PriIposmag, Iposmag,,Domain, Signal, Signal1, Signal2
1.97268,7.324844206,39.74464994,0.09559109,0.530273021,,1.97268,0,0,0
1.9728,7.324844206,39.74464994,0.09559109,0.530273021,,1.9728,0,0,0
1.97292,7.32488216,39.74465337,0.095586727,0.530248733,,1.97292,0,0,0
1.97304,7.32488216,39.74465337,0.095586727,0.530248733,,1.97304,0,0,0
1.97316,7.32488216,39.74465337,0.095586727,0.530248733,,1.97316,0,0,0
1.97328,7.32488216,39.74465337,0.095586727,0.530248733,,1.97328,0,0,0
1.9734,7.32488216,39.74465337,0.095586727,0.530248733,,1.9734,0,0,0
1.97352,7.32488216,39.74465337,0.095586727,0.530248733,,1.97352,0,0,0
1.97364,7.32488216,39.74465337,0.095586727,0.530248733,,1.97364,0,0,0
1.97376,7.32488216,39.74465337,0.095586727,0.530248733,,1.97376,0,0,0
1.97388,7.32488216,39.74465337,0.095586727,0.530248733,,1.97388,0,0,0
1.974,7.324811529,39.74465553,0.095584911,0.530238768,,1.974,0,0,0
1.97412,7.324811529,39.74465553,0.095584911,0.530238768,,1.97412,0,0,0
1.97424,7.324811529,39.74465553,0.095584911,0.530238768,,1.97424,0,0,0
1.97436,7.324811529,39.74465553,0.095584911,0.530238768,,1.97436,0,0,0
1.97448,7.324811529,39.74465553,0.095584911,0.530238768,,1.97448,0,0,0
1.9746,7.324811529,39.74465553,0.095584911,0.530238768,,1.9746,0,0,0
1.97472,7.324811529,39.74465553,0.095584911,0.530238768,,1.97472,0,0,0
1.97484,7.324811529,39.74465553,0.095584911,0.530238768,,1.97484,0,0,0
1.97496,7.324811529,39.74465553,0.095584911,0.530238768,,1.97496,0,0,0
1.97508,7.324763422,39.74465169,0.095588926,0.530261011,,1.97508,0,0,0
1.9752,7.324763422,39.74465169,0.095588926,0.530261011,,1.9752,0,0,0
1.97532,7.324763422,39.74465169,0.095588926,0.530261011,,1.97532,0,0,0
1.97544,7.324763422,39.74465169,0.095588926,0.530261011,,1.97544,0,0,0
1.97556,7.324763422,39.74465169,0.095588926,0.530261011,,1.97556,0,0,0
1.97568,7.324763422,39.74465169,0.095588926,0.530261011,,1.97568,0,0,0
1.9758,7.324763422,39.74465169,0.095588926,0.530261011,,1.9758,0,0,0
1.97592,7.324763422,39.74465169,0.095588926,0.530261011,,1.97592,0,0,0
1.97604,7.324763422,39.74465169,0.095588926,0.530261011,,1.97604,0,0,0
1.97616,7.324819176,39.74464787,0.095592546,0.530281008,,1.97616,0,0,0
1.97628,7.324819176,39.74464787,0.095592546,0.530281008,,1.97628,0,0,0
1.9764,7.324819176,39.74464787,0.095592546,0.530281008,,1.9764,0,0,0
1.97652,7.324819176,39.74464787,0.095592546,0.530281008,,1.97652,0,0,0
1.97664,7.324819176,39.74464787,0.095592546,0.530281008,,1.97664,0,0,0
1.97676,7.324819176,39.74464787,0.095592546,0.530281008,,1.97676,0,0,0
1.97688,7.324819176,39.74464787,0.095592546,0.530281008,,1.97688,0,0,0
1.977,7.324819176,39.74464787,0.095592546,0.530281008,,1.977,0,0,0
1.97712,7.324873385,39.74464968,0.095590816,0.530271481,,1.97712,0,0,0
1.97724,7.324873385,39.74464968,0.095590816,0.530271481,,1.97724,0,0,0
1.97736,7.324873385,39.74464968,0.095590816,0.530271481,,1.97736,0,0,0
1.97748,7.324873385,39.74464968,0.095590816,0.530271481,,1.97748,0,0,0
1.9776,7.324873385,39.74464968,0.095590816,0.530271481,,1.9776,0,0,0
1.97772,7.324873385,39.74464968,0.095590816,0.530271481,,1.97772,0,0,0
1.97784,7.324873385,39.74464968,0.095590816,0.530271481,,1.97784,0,0,0
1.97796,7.324873385,39.74464968,0.095590816,0.530271481,,1.97796,0,0,0
1.97808,7.324873385,39.74464968,0.095590816,0.530271481,,1.97808,0,0,0
1.9782,7.324845497,39.74465129,0.095589869,0.530266382,,1.9782,0,0,0
1.97832,7.324845497,39.74465129,0.095589869,0.530266382,,1.97832,0,0,0
1.97844,7.324845497,39.74465129,0.095589869,0.530266382,,1.97844,0,0,0
1.97856,7.324845497,39.74465129,0.095589869,0.530266382,,1.97856,0,0,0
1.97868,7.324845497,39.74465129,0.095589869,0.530266382,,1.97868,0,0,0
1.9788,7.324845497,39.74465129,0.095589869,0.530266382,,1.9788,0,0,0
1.97892,7.324845497,39.74465129,0.095589869,0.530266382,,1.97892,0,0,0
1.97904,7.324845497,39.74465129,0.095589869,0.530266382,,1.97904,0,0,0
1.97916,7.324845497,39.74465129,0.095589869,0.530266382,,1.97916,0,0,0
1.97928,7.324828822,39.74465006,0.095591585,0.530275972,,1.97928,0,0,0
1.9794,7.324828822,39.74465006,0.095591585,0.530275972,,1.9794,0,0,0
1.97952,7.324828822,39.74465006,0.095591585,0.530275972,,1.97952,0,0,0
1.97964,7.324828822,39.74465006,0.095591585,0.530275972,,1.97964,0,0,0
1.97976,7.324828822,39.74465006,0.095591585,0.530275972,,1.97976,0,0,0
1.97988,7.324828822,39.74465006,0.095591585,0.530275972,,1.97988,0,0,0
1.98,7.324828822,39.74465006,0.095591585,0.530275972,,1.98,0,0,0
1.98012,7.324828822,39.74465006,0.095591585,0.530275972,,1.98012,0,0,0
1.98024,7.32484643,39.7446486,0.095592413,0.530280441,,1.98024,0,0,0
1.98036,7.32484643,39.7446486,0.095592413,0.530280441,,1.98036,0,0,0
1.98048,7.32484643,39.7446486,0.095592413,0.530280441,,1.98048,0,0,0
1.9806,7.32484643,39.7446486,0.095592413,0.530280441,,1.9806,0,0,0
1.98072,7.32484643,39.7446486,0.095592413,0.530280441,,1.98072,0,0,0
1.98084,7.32484643,39.7446486,0.095592413,0.530280441,,1.98084,0,0,0
1.98096,7.32484643,39.7446486,0.095592413,0.530280441,,1.98096,0,0,0
1.98108,7.32484643,39.7446486,0.095592413,0.530280441,,1.98108,0,0,0
1.9812,7.32484643,39.7446486,0.095592413,0.530280441,,1.9812,0,0,0
1.98132,7.324889698,39.74465209,0.095588065,0.530256236,,1.98132,0,0,0
1.98144,7.324889698,39.74465209,0.095588065,0.530256236,,1.98144,0,0,0
1.98156,7.324889698,39.74465209,0.095588065,0.530256236,,1.98156,0,0,0
1.98168,7.324889698,39.74465209,0.095588065,0.530256236,,1.98168,0,0,0
1.9818,7.324889698,39.74465209,0.095588065,0.530256236,,1.9818,0,0,0
1.98192,7.324889698,39.74465209,0.095588065,0.530256236,,1.98192,0,0,0
